Name,yt_name,Link,start_min,start_sec,end_min,end_sec
Australia,Australia,https://talkinghands.co.in/sites/default/files/islvideos/Australia.webm,0,0,0,3
Australia-alternate,Australia-alternate,https://talkinghands.co.in/sites/default/files/islvideos/Australia-alternate.webm,0,0,0,3
Auto,Auto,https://talkinghands.co.in/sites/default/files/islvideos/Auto.webm,0,0,0,2
Automatic,Automatic,https://talkinghands.co.in/sites/default/files/islvideos/Automatic.webm,0,0,0,2
Axe,Axe,https://talkinghands.co.in/sites/default/files/islvideos/Axe.webm,0,0,0,2
b,double handed,https://youtu.be/VlqddxqAYQo,0,4,0,5
baby,baby,https://youtu.be/DPQ-TcGykDw,0,0,0,3
baby,baby,https://talkinghands.co.in/sites/default/files/islvideos/baby.webm,0,0,0,3
baby 3,baby 3,https://talkinghands.co.in/sites/default/files/islvideos/baby_3.webm,0,0,0,3
baby 4,baby 4,https://talkinghands.co.in/sites/default/files/islvideos/baby_4.webm,0,0,0,9
baby_2,baby_2,https://talkinghands.co.in/sites/default/files/islvideos/baby_2.webm,0,0,0,3
BACK,BACK,https://talkinghands.co.in/sites/default/files/islvideos/BACK.webm,0,0,0,4
Bad-alternate,Bad-alternate,https://talkinghands.co.in/sites/default/files/islvideos/Bad-alternate.webm,0,0,0,3
Badminton,Badminton,https://talkinghands.co.in/sites/default/files/islvideos/Badminton.webm,0,0,0,2
Badoda,Badoda,https://talkinghands.co.in/sites/default/files/islvideos/Badoda.webm,0,0,0,2
Bail,Bail,https://talkinghands.co.in/sites/default/files/islvideos/Bail.webm,0,0,0,2
Ball,Ball,https://talkinghands.co.in/sites/default/files/islvideos/Ball.webm,0,0,0,2
Balloon,Balloon,https://talkinghands.co.in/sites/default/files/islvideos/Balloon.webm,0,0,0,3
banana,banana,https://youtu.be/DbWWsUmMXUA,0,4,0,6
Banana,Banana,https://talkinghands.co.in/sites/default/files/islvideos/Banana.webm,0,0,0,2
Banaras,Banaras,https://talkinghands.co.in/sites/default/files/islvideos/Banaras.webm,0,0,0,2
Bandage,Bandage,https://talkinghands.co.in/sites/default/files/islvideos/Bandage.webm,0,0,0,2
Bandh,Bandh,https://talkinghands.co.in/sites/default/files/islvideos/Bandh.webm,0,0,0,2
Bangladesh,Bangladesh,https://talkinghands.co.in/sites/default/files/islvideos/Bangladesh.webm,0,0,0,3
Banglore,Banglore,https://talkinghands.co.in/sites/default/files/islvideos/Banglore.webm,0,0,0,2
bank,bank,https://youtu.be/IphLasWnRHk,0,0,0,2
Bank,Bank,https://talkinghands.co.in/sites/default/files/islvideos/Bank.webm,0,0,0,2
Barber,Barber,https://talkinghands.co.in/sites/default/files/islvideos/Barber.webm,0,0,0,2
basket ball,basket ball,https://talkinghands.co.in/sites/default/files/islvideos/basket_ball.webm,0,0,0,2
Bat,Bat,https://talkinghands.co.in/sites/default/files/islvideos/Bat.webm,0,0,0,2
Bath,Bath,https://talkinghands.co.in/sites/default/files/islvideos/Bath.webm,0,0,0,3
bathroom,bathroom,https://youtu.be/j3tuj3W7MFk,0,0,0,4
Bathroom,Bathroom,https://talkinghands.co.in/sites/default/files/islvideos/Bathroom.webm,0,0,0,3
Bathroom_alternate,Bathroom_alternate,https://talkinghands.co.in/sites/default/files/islvideos/Bathroom_alternate.webm,0,0,0,3
Bed,Bed,https://talkinghands.co.in/sites/default/files/islvideos/Bed.webm,0,0,0,3
Bed room,Bed room,https://talkinghands.co.in/sites/default/files/islvideos/bed_room.webm,0,0,0,3
Bedsheet,Bedsheet,https://talkinghands.co.in/sites/default/files/islvideos/Bedsheet.webm,0,0,0,3
Before,Before,https://talkinghands.co.in/sites/default/files/islvideos/Before.webm,0,0,0,2
Behind,Behind,https://talkinghands.co.in/sites/default/files/islvideos/Behind.webm,0,0,0,2
Bell,Bell,https://talkinghands.co.in/sites/default/files/islvideos/Bell.webm,0,0,0,2
below,below,https://youtu.be/QBbAwvlhH0o,0,0,0,2
Below,Below,https://talkinghands.co.in/sites/default/files/islvideos/Below.webm,0,0,0,2
Bench,Bench,https://talkinghands.co.in/sites/default/files/islvideos/Bench.webm,0,0,0,2
Bengali,Bengali,https://talkinghands.co.in/sites/default/files/islvideos/Bengali.webm,0,0,0,3
Between,Between,https://talkinghands.co.in/sites/default/files/islvideos/Between.webm,0,0,0,2
Beverages,Beverages,https://talkinghands.co.in/sites/default/files/islvideos/Beverages.webm,0,0,0,3
Bhangada,Bhangada,https://talkinghands.co.in/sites/default/files/islvideos/Bhangada.webm,0,0,0,2
Bhopal,Bhopal,https://talkinghands.co.in/sites/default/files/islvideos/Bhopal.webm,0,0,0,2
